Character,Sentence      
HARRY,I can’t let you out Hedwig.     
HARRY,I’m not allowed to use magic outside of school.      
HARRY,Besides if Uncle Vernon…     
VERNON,Harry Potter!      
HARRY,Now you’ve done it.      
PETUNIA,He’s in there. Vernon...      
UNCLE VERNON,I’m warning you if you can’t control that bloody bird it’ll have to go.     
HARRY,But she’s bored!      
HARRY,If I could only let out for an hour or two      
VERNON,Huh huh! So you could send secret messages to you freaky little friends. No sir!    
HARRY,But I haven’t had any messages from any of my friends... not one… all summer.      
DUDLEY,Who’d want to be friends with you?      
UNCLE VERNON,I should think you’d be a little more grateful.      
UNCLE VERNON,We’ve raised you since you were a baby given you the food off our table even let you have Dudley’s second bedroom purely out of the goodness of our hearts.   
AUNT PETUNIA,Not now Pupkins. For when the Masons arrive.     
UNCLE VERNON,Which should be any minute!      
UNCLE VERNON,Ahem...Now let’s go over our schedule once again shall we?     
UNCLE VERNON,Petunia when the Masons arrive you will be...?      
AUNT PETUNIA,in the lounge waiting to welcome them graciously into our home.     
UNCLE VERNON,Good! And- and Dudley you will be...?     
DUDLEY,I’ll be waiting to open the door!      
UNCLE VERNON,Excellent! ...And you...?      
HARRY,I’ll be in my bedroom making no noise and pretending that I don’t exist.     
UNCLE VERNON,Too right you will.     
UNCLE VERNON,With any luck this could well be the day I make the biggest deal of my career.     
UNCLE VERNON,And you will not mess it up!      
UNCLE VERNON,Mr. and Mrs. Mason! Do come in!      
DOBBY,Ha- ha- ha! Ha ha! Ho ho ho! Ha ha!  
DOBBY,Harry Potter! Such an honor it is!      
HARRY,Who are you?      
DOBBY,Dobby sir Dobby the house elf.     
HARRY,Not to be to be rude or anything but this isn’t a great time for me to have a house elf in my bedroom.     
DOBBY,Oh oh yes sir! Dobby understands!    
DOBBY,It’s just that Dobby has come to tell you- it is difficult sir    
DOBBY, Dobby wonders where to begin?      
HARRY,Why don’t you sit down?      
DOBBY,S-sit down? S-sit- sit down?      
DOBBY,Oh oh ho. Oh ho ho... Oh ho ho.
HARRY,Dobby ssh! I’m sorry!     
HARRY,I didn’t mean to offend you or anything.     
DOBBY,Offend Dobby?      
DOBBY,Dobby has heard of your greatness sir but never has he been asked to sit down by a wizard like an equal.   
HARRY,You can’t have met many decent wizards then.      
DOBBY,No I haven’t.     
DOBBY,That was an awful thing to say.      
DOBBY,Bad Dobby!      
HARRY,Stop Dobby!     
DOBBY,Bad Dobby!      
HARRY,Dobby shh!     
DOBBY,Baaad Dobby!      
HARRY,Dobby please stop!     
UNCLE VERNON,Ohh don’t mind that!     
UNCLE VERNON,It’s just the cat.      
DOBBY,Bad Dobby.      
DOBBY,Bad Dobby!      
HARRY,Stop! Stop Dobby.     
HARRY,Please be quiet!      
HARRY,Are you all right?      
DOBBY,Dobby had to punish himself sir.     
DOBBY,Dobby almost spoke ill of his family sir.     
HARRY,Your family?      
DOBBY,The wizard family Dobby serves sir.     
DOBBY,Dobby is bound to serve one family forever.      
DOBBY,If they ever knew Dobby was here...ooh...      
DOBBY,But Dobby had to come.      
DOBBY,Dobby has to protect Harry Potter- to warn him.      
DOBBY,Harry Potter must not go back to Hogwarts School of Witchcraft and Wizardry this year!      
DOBBY,There is a plot a plot to make most terrible things happen.     
HARRY,What terrible things?      
HARRY,Who’s plotting them?      
DOBBY,Ooo... er... can’t... say... argh...      
HARRY,Ok– I- understand. You can’t- say.      
DOBBY,Don’t make me talk I— Errr...     
HARRY,Dobby! Dobby put the lamp down.     
DOBBY,Bad Dobby.      
HARRY,Give me the lamp! Dobby stop!      
DOBBY,Let me go!      
HARRY,Get in there and keep quiet!     
UNCLE VERNON,What the devil are you doing up here?      
HARRY,I- I was just—      
UNCLE VERNON,You just ruined the punch line of my Japanese golfer joke!      
HARRY,Sorry.      
UNCLE VERNON,One more sound and you’ll wish you’d never been born boy!    
UNCLE VERNON,And fix that door!      
HARRY,Yes sir... See why I’ve got to go back?     
HARRY,I don’t belong here.      
HARRY,I belong in your world at Hogwarts.     
HARRY,It’s the only place I’ve got friends!      
DOBBY,Friends who don’t even write to Harry Potter?      
HARRY,Well I expect they’ve... been- hang on-     
HARRY,how do you know my friends haven’t been writing to me?      
DOBBY,Harry Potter mustn’t be angry with Dobby.      
DOBBY,Heh- Dobby hoped if Harry Potter thought his friends had forgotten him Harry Potter might not want to go back to school sir.   
HARRY,Give me those now!     
DOBBY,No! Ahh! Ooh...      
HARRY,Dobby get back here!     
HARRY,Dobby please no!    
DOBBY,Harry Potter must say he’s not going back to school!      
HARRY,I can’t. Hogwarts is my home!      
DOBBY,Then Dobby must do it sir for Harry Potter’s own good.   
UNCLE VERNON,...it spread as far as the eye could see all over the floor of this vast building and it was this deep.    
UNCLE VERNON,And one plumber said “Look at all that water.”      
UNCLE VERNON,A-and the second plumber said “Yes and that’s just the top of it!”    
UNCLE VERNON,I’m so sorry! It’s my nephew- he’s very disturbed.      
UNCLE VERNON,Meeting strangers upsets him.      
UNCLE VERNON,That’s why I kept him upstairs!      
UNCLE VERNON,You’re never going back to that school.      
UNCLE VERNON,You’re never going to see those freaky friends of yours again. Never!      
RON,Hi Harry!     
HARRY,Ron! Fred. George.      
HARRY,What are you all doing here?      
RON,Rescuing you of course.     
RON,Now come on. Get your trunk!...     
RON,You’d better stand back. Let’s go!      
AUNT PETUNIA,Oh!      
UNCLE VERNON,Now what the hell’s he doing? Potter!     
DUDLEY,Dad! What’s going on?      
GEORGE,Go go go go!   
DUDLEY,Dad  hurry up!     
RON,Come on.      
FRED,Come on.      
RON,Come on Harry! Hurry up!     
UNCLE VERNON,Petunia he’s escaping!     
HARRY,Ahh- ahh!      
RON,I’ve got you Harry!      
UNCLE VERNON,Come here!      
HARRY,Let go of me!      
UNCLE VERNON,Oh no boy! You and that bloody pigeon aren’t going anywhere!     
HARRY,Get off!      
RON,Drive!      
FRED,Right.      
GEORGE,Right!      
UNCLE VERNON,No! No! No! No! Aaaah!      
AUNT PETUNIA,Aaah!      
DUDLEY,Dad!      
UNCLE VERNON,Oh... Damn.      
RON,By the way Harry  Happy Birthday!    
FRED,Come on. Okay come on. Shh!     
FRED,Shh! Ok come on. Shh! Come on.     
RON,Do you think it’d be all right if we had some of this?      
GEORGE,Yeah Mum would never know.     
RON,It’s not much but it’s home.     
HARRY,I think it’s brilliant      
MRS. WEASLEY,Where have you been?      
MRS. WEASLEY,Harry how wonderful to see you dear.     
MRS. WEASLEY,Beds empty! No note! Car gone!      
MRS. WEASLEY,You could have died! You could have been seen!      
MRS. WEASLEY,Of course I don’t blame you  Harry dear.    
RON,They were starving him Mum.      
RON,There were bars on his window!      
MRS. WEASLEY,Well you’d best hope that I don’t put bars on your window Ronald Weasley!    
MRS. WEASLEY,Come on Harry time for a spot of breakfast.     
MRS. WEASLEY,Here we are Harry.      
MRS. WEASLEY,Now tuck in! That’s it. There we go.      
GINNY,Mum- Mummy have you seen my jumper?     
MRS. WEASLEY,Yes dear. It was on the cat.      
HARRY,Hello. W-what did I do?      
RON,Ginny. She’s been talking about you all summer.      
RON, A bit annoying really.      
MR. WEASLEY,Morning Weasleys.     
RON,Morning Dad.   
MRS. WEASLEY,Morning Arthur!      
MR. WEASLEY,What a night. Nine raids. Nine!      
HARRY,Raids?      
RON,Dad works in the Ministry of Magic in the Misuse of Muggle Artifacts Office.     
RON,Dad loves Muggles  thinks they’re fascinating.     
MR. WEASLEY,Well now. Aah! And who are you?      
HARRY,Oh  sorry sir. I’m Harry sir  Harry Potter.   
MR. WEASLEY,Good Lord! Are you really?      
MR. WEASLEY,Well Ron’s told us all about you of course.    
MR. WEASLEY,When did he get here?      
MRS. WEASLEY,This morning. Your sons flew that enchanted car of yours to Surrey and back last night.      
MR. WEASLEY,Did you really? How’d it go? Did you—      
RON HARRY,Oh it...  
MRS. WEASLEY,Arthur!      
MR. WEASLEY,I mean...that was very wrong indeed boys.    
MR. WEASLEY,Very wrong of you      
MR. WEASLEY,Now Harry you must know all about Muggles.    
MR. WEASLEY,Tell me what exactly is the function of a rubber duck?     
HARRY,Oh umm...     
MRS. WEASLEY,Well that’ll be Errol with the post.     
MRS. WEASLEY,Oh  fetch it will you Percy please?    
PERCY,Errol...      
RON,He’s always doing that.      
PERCY,Oh look it’s our Hogwarts letters.     
PERCY,And they’ve sent us Harry’s as well.      
MR. WEASLEY,Dumbledore must know you’re here Harry.     
MR. WEASLEY,Doesn’t miss a trick that man.     
MRS. WEASLEY,Oh no.     
FRED,This lot won’t come cheap Mum.     
FRED,The spell books alone are very expensive.      
MRS. WEASLEY,We’ll manage.      
MRS. WEASLEY,There’s only one place we’re going to get all of this.       
MRS. WEASLEY,Diagon Alley.      
MRS. WEASLEY,Right.      
MRS. WEASLEY,Here we are Harry.     
MRS. WEASLEY,You go first dear.     
RON,But Harrys never traveled by Floo powder before Mum.     
HARRY,Floo powder?      
MRS. WEASLEY,You go first Ron so that Harry can see how its done. Yes.    
MRS. WEASLEY,In you go.      
MRS. WEASLEY,Thats it.      
RON,Diagon Alley.      
MRS. WEASLEY,You see? Its quite easy dear.     
MRS. WEASLEY,Dont be afraid. Come on.      
MRS. WEASLEY,Come on.      
MRS. WEASLEY,In you go. Thats it.      
MRS. WEASLEY,Mind your head.      
MRS. WEASLEY,Thats right.      
MRS. WEASLEY,Now take your Floo powder.     
MRS. WEASLEY,Thats it very good.     
MRS. WEASLEY,Now dont forget to speak very very clearly.    
HARRY,Diagonally.      
MRS. WEASLEY,What did he say dear?     
MR. WEASLEY,Diagonally.      
MRS. WEASLEY,I thought he did.      
MR. BORGIN,Mr. Malfoy! What a pleasure to see you again.      
